TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,PRESSURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO
1008.0,0:1:53,65.0,F,SOff,-1.31,N,N,N,27.96,953.1,7.73,0:1:33,0.0,0.0,-0.0,0.0,-23.52,3.44,ST
1008.0,0:1:54,66.0,F,SOff,-1.09,N,N,N,27.98,953.07,7.73,0:1:34,0.0,0.0,-0.0,0.0,-23.47,-1.84,ST
1008.0,0:1:55,67.0,F,SOff,-0.91,N,N,N,28.0,953.05,7.73,0:1:35,0.0,0.0,-0.0,0.0,-21.67,-18.78,ST
1008.0,0:1:56,68.0,F,SOff,-0.74,N,N,N,28.02,953.03,7.73,0:1:36,0.0,0.0,-0.0,0.0,-31.0,-10.63,ST
1008.0,0:1:57,69.0,F,SOff,-0.6,N,N,N,28.04,953.02,7.71,0:1:37,0.0,0.0,-0.0,0.0,-43.59,-8.18,ST
1008.0,0:1:58,70.0,F,SOff,-0.49,N,N,N,28.06,953.01,7.71,0:1:38,0.0,0.0,-0.0,0.0,-25.2,-20.39,ST
1008.0,0:1:59,71.0,F,SOff,-0.32,N,N,N,28.08,952.99,7.71,0:1:39,0.0,0.0,-0.0,0.0,-26.71,-11.6,ST
1008.0,0:2:0,72.0,F,SOff,-0.18,N,N,N,28.1,952.97,7.73,0:1:40,0.0,0.0,-0.0,0.0,-33.37,-23.49,ST
1008.0,0:2:1,73.0,F,SOff,-0.1,N,N,N,28.13,952.96,7.69,0:1:41,0.0,0.0,-0.0,0.0,-33.17,-27.94,ST
1008.0,0:2:2,74.0,F,SOff,0.0,N,N,N,28.15,952.95,7.73,0:1:42,0.0,0.0,-0.0,0.0,-24.89,-39.51,ST
1008.0,0:2:3,75.0,F,SOff,0.09,N,N,N,28.17,952.94,7.73,0:1:43,0.0,0.0,-0.0,0.0,-28.79,-31.57,ST
1008.0,0:2:4,76.0,F,SOff,0.14,N,N,N,28.19,952.93,7.71,0:1:44,0.0,0.0,-0.0,0.0,-21.54,-37.38,ST
1008.0,0:2:5,77.0,F,SOff,0.21,N,N,N,28.21,952.93,7.73,0:1:45,0.0,0.0,-0.0,0.0,-18.32,-39.11,ST
1008.0,0:2:6,78.0,F,SOff,0.28,N,N,N,28.23,952.92,7.71,0:1:46,0.0,0.0,-0.0,0.0,-27.39,-41.09,ST
1008.0,0:2:7,79.0,F,SOff,0.35,N,N,N,28.25,952.91,7.71,0:1:47,0.0,0.0,-0.0,0.0,-34.51,-36.44,ST
1008.0,0:2:8,80.0,F,SOff,0.4,N,N,N,28.27,952.9,7.69,0:1:48,0.0,0.0,-0.0,0.0,-25.96,-38.43,ST
1008.0,0:2:9,81.0,F,SOff,0.41,N,N,N,28.29,952.9,7.73,0:1:49,0.0,0.0,-0.0,0.0,-25.72,-36.05,ST
1008.0,0:2:10,82.0,F,SOff,0.43,N,N,N,28.31,952.9,7.73,0:1:50,0.0,0.0,-0.0,0.0,-29.27,-29.83,ST
1008.0,0:2:11,83.0,F,SOff,0.46,N,N,N,28.32,952.9,7.71,0:1:51,0.0,0.0,-0.0,0.0,-23.36,-37.4,ST
1008.0,0:2:12,84.0,F,SOff,0.49,N,N,N,28.34,952.89,7.73,0:1:52,0.0,0.0,-0.0,0.0,-19.91,-36.62,ST
1008.0,0:2:13,85.0,F,SOff,0.51,N,N,N,28.36,952.89,7.71,0:1:53,0.0,0.0,-0.0,0.0,-12.5,-46.65,ST
1008.0,0:2:14,86.0,F,SOff,0.54,N,N,N,28.38,952.89,7.73,0:1:54,0.0,0.0,-0.0,0.0,-12.11,-46.52,ST
1008.0,0:2:15,87.0,F,SOff,0.58,N,N,N,28.4,952.88,7.71,0:1:55,0.0,0.0,-0.0,0.0,-9.39,-43.21,ST
1008.0,0:2:16,88.0,F,SOff,0.59,N,N,N,28.42,952.88,7.71,0:1:56,0.0,0.0,-0.0,0.0,-18.54,-41.27,ST
1008.0,0:2:17,89.0,F,SOff,0.6,N,N,N,28.44,952.88,7.71,0:1:57,0.0,0.0,-0.0,0.0,-11.17,-48.14,ST
1008.0,0:2:18,90.0,F,SOff,0.61,N,N,N,28.46,952.88,7.71,0:1:58,0.0,0.0,-0.0,0.0,-9.28,-47.94,ST
1008.0,0:2:19,91.0,F,SOff,0.68,N,N,N,28.48,952.87,7.69,0:1:59,0.0,0.0,-0.0,0.0,-7.04,-42.94,ST
1008.0,0:2:20,92.0,F,SOff,0.73,N,N,N,28.5,952.87,7.73,0:2:0,0.0,0.0,-0.0,0.0,-12.62,-48.44,ST
1008.0,0:2:21,93.0,F,SOff,0.77,N,N,N,28.52,952.86,7.71,0:2:1,0.0,0.0,-0.0,0.0,-11.87,-51.33,ST
1008.0,0:2:22,94.0,F,SOff,0.84,N,N,N,28.54,952.85,7.71,0:2:2,0.0,0.0,-0.0,0.0,-11.98,-44.16,ST
1008.0,0:2:23,95.0,F,SOff,0.88,N,N,N,28.56,952.85,7.71,0:2:3,0.0,0.0,-0.0,0.0,-4.22,-43.46,ST
1008.0,0:2:24,96.0,F,SOff,0.91,N,N,N,28.58,952.85,7.73,0:2:4,0.0,0.0,-0.0,0.0,-11.27,-44.43,ST
1008.0,0:2:25,97.0,F,SOff,0.89,N,N,N,28.6,952.85,7.71,0:2:5,0.0,0.0,-0.0,0.0,-8.56,-45.3,ST
1008.0,0:2:26,98.0,F,SOff,0.88,N,N,N,28.62,952.85,7.73,0:2:6,0.0,0.0,-0.0,0.0,-11.56,-44.44,ST
1008.0,0:2:27,99.0,F,SOff,0.84,N,N,N,28.64,952.86,7.73,0:2:7,0.0,0.0,-0.0,0.0,-6.89,-44.85,ST
1008.0,0:2:28,100.0,F,SOff,0.82,N,N,N,28.66,952.86,7.69,0:2:8,0.0,0.0,-0.0,0.0,-4.87,-44.87,ST
1008.0,0:2:29,101.0,F,SOff,0.74,N,N,N,28.68,952.87,7.69,0:2:9,0.0,0.0,-0.0,0.0,-7.85,-53.79,ST
1008.0,0:2:30,102.0,F,SOff,0.71,N,N,N,28.7,952.87,7.71,0:2:10,0.0,0.0,-0.0,0.0,-11.25,-49.86,ST
1008.0,0:2:31,103.0,F,SOff,0.69,N,N,N,28.72,952.87,7.69,0:2:11,0.0,0.0,-0.0,0.0,-6.07,-45.64,ST
1008.0,0:2:32,104.0,F,SOff,0.63,N,N,N,28.74,952.88,7.69,0:2:12,0.0,0.0,-0.0,0.0,1.35,-50.79,ST
1008.0,0:2:33,105.0,F,SOff,0.58,N,N,N,28.76,952.88,7.69,0:2:13,0.0,0.0,-0.0,0.0,-10.72,-48.38,ST
1008.0,0:2:34,106.0,F,SOff,0.51,N,N,N,28.78,952.89,7.69,0:2:14,0.0,0.0,-0.0,0.0,-9.8,-50.44,ST
1008.0,0:2:35,107.0,F,SOff,0.51,N,N,N,28.8,952.89,7.71,0:2:15,0.0,0.0,-0.0,0.0,-9.62,-49.02,ST
1008.0,0:2:36,108.0,F,SOff,0.51,N,N,N,28.82,952.89,7.73,0:2:16,0.0,0.0,-0.0,0.0,-12.62,-47.93,ST
1008.0,0:2:37,109.0,F,SOff,0.49,N,N,N,28.84,952.89,7.71,0:2:17,0.0,0.0,-0.0,0.0,-2.52,-44.68,ST
1008.0,0:2:38,110.0,F,SOff,0.5,N,N,N,28.86,952.89,7.69,0:2:18,0.0,0.0,-0.0,0.0,1.06,-41.65,ST
1008.0,0:2:39,111.0,F,SOff,0.5,N,N,N,28.87,952.89,7.71,0:2:19,0.0,0.0,-0.0,0.0,-8.79,-45.59,ST
1008.0,0:2:40,112.0,F,SOff,0.53,N,N,N,28.89,952.89,7.71,0:2:20,0.0,0.0,-0.0,0.0,-8.13,-32.25,ST
1008.0,0:2:41,113.0,F,SOff,0.55,N,N,N,28.91,952.89,7.73,0:2:21,0.0,0.0,-0.0,0.0,-0.82,-34.84,ST
1008.0,0:2:42,114.0,F,SOff,0.56,N,N,N,28.93,952.89,7.71,0:2:22,0.0,0.0,-0.0,0.0,5.05,-36.82,ST
1008.0,0:2:43,115.0,F,SOff,0.57,N,N,N,28.95,952.89,7.69,0:2:23,0.0,0.0,-0.0,0.0,-3.63,-38.64,ST
1008.0,0:2:44,116.0,F,SOff,0.6,N,N,N,28.97,952.88,7.69,0:2:24,0.0,0.0,-0.0,0.0,0.42,-42.71,ST
1008.0,0:2:45,117.0,F,SOff,0.64,N,N,N,28.99,952.88,7.71,0:2:25,0.0,0.0,-0.0,0.0,-2.26,-45.51,ST
1008.0,0:2:46,118.0,F,SOff,0.66,N,N,N,29.01,952.88,7.71,0:2:26,0.0,0.0,-0.0,0.0,-5.8,-40.88,ST
1008.0,0:2:47,119.0,F,SOff,0.7,N,N,N,29.03,952.87,7.69,0:2:27,0.0,0.0,-0.0,0.0,-2.67,-44.96,ST
1008.0,0:2:48,120.0,F,SOff,0.72,N,N,N,29.05,952.87,7.71,0:2:28,0.0,0.0,-0.0,0.0,7.52,-37.91,ST
1008.0,0:2:49,121.0,F,SOff,0.69,N,N,N,29.07,952.87,7.71,0:2:29,0.0,0.0,-0.0,0.0,2.91,-45.91,ST
1008.0,0:2:50,122.0,F,SOff,0.69,N,N,N,29.09,952.87,7.71,0:2:30,0.0,0.0,-0.0,0.0,-3.36,-51.73,ST
1008.0,0:2:51,123.0,F,SOff,0.7,N,N,N,29.11,952.87,7.73,0:2:31,0.0,0.0,-0.0,0.0,4.36,-55.25,ST
1008.0,0:2:52,124.0,F,SOff,0.7,N,N,N,29.13,952.87,7.71,0:2:32,0.0,0.0,-0.0,0.0,-8.05,-48.79,ST
1008.0,0:2:53,125.0,F,SOff,0.71,N,N,N,29.15,952.87,7.71,0:2:33,0.0,0.0,-0.0,0.0,-6.88,-49.08,ST
1008.0,0:2:54,126.0,F,SOff,0.69,N,N,N,29.17,952.87,7.69,0:2:34,0.0,0.0,-0.0,0.0,-5.24,-50.68,ST
1008.0,0:2:55,127.0,F,SOff,0.7,N,N,N,29.19,952.87,7.69,0:2:35,0.0,0.0,-0.0,0.0,2.27,-53.17,ST
1008.0,0:2:56,128.0,F,SOff,0.7,N,N,N,29.21,952.87,7.69,0:2:36,0.0,0.0,-0.0,0.0,-11.1,-50.4,ST
